ID,Prob1
0, 9.00
1, 3.00
2, 5.00
3, 1.00
4, 9.00
5, 9.00
6, 2.00
7, 9.00
8, 1.00
9, 0.00
10, 9.00
11, 1.00
12, 9.00
13, 9.00
14, 9.00
15, 9.00
16, 1.00
17, 9.00
18, 1.00
19, 1.00
20, 1.00
21, 8.00
22, 1.00
23, 3.00
24, 1.00
25, 9.00
26, 5.00
27, 1.00
28, 1.00
29, 9.00
30, 9.00
31, 9.00
32, 1.00
33, 1.00
34, 9.00
35, 1.00
36, 9.00
37, 1.00
38, 3.00
39, 1.00
40, 3.00
41, 1.00
42, 9.00
43, 1.00
44, 9.00
45, 1.00
46, 1.00
47, 5.00
48, 0.00
49, 1.00
50, 3.00
51, 3.00
52, 1.00
53, 9.00
54, 2.00
55, 3.00
56, 9.00
57, 1.00
58, 3.00
59, 9.00
60, 1.00
61, 1.00
62, 1.00
63, 1.00
64, 1.00
65, 1.00
66, 9.00
67, 1.00
68, 1.00
69, 1.00
70, 1.00
71, 2.00
72, 9.00
73, 1.00
74, 1.00
75, 1.00
76, 1.00
77, 1.00
78, 1.00
79, 3.00
80, 3.00
81, 9.00
82, 9.00
83, 3.00
84, 2.00
85, 9.00
86, 4.00
87, 8.00
88, 1.00
89, 8.00
90, 1.00
91, 1.00
92, 1.00
93, 3.00
94, 1.00
95, 3.00
96, 1.00
97, 2.00
98, 1.00
99, 1.00
100, 0.00
101, 9.00
102, 9.00
103, 9.00
104, 9.00
105, 1.00
106, 0.00
107, 1.00
108, 9.00
109, 3.00
110, 1.00
111, 2.00
112, 1.00
113, 3.00
114, 9.00
115, 0.00
116, 9.00
117, 8.00
118, 3.00
119, 1.00
120, 1.00
121, 9.00
122, 3.00
123, 1.00
124, 1.00
125, 1.00
126, 3.00
127, 3.00
128, 9.00
129, 1.00
130, 9.00
131, 9.00
132, 3.00
133, 8.00
134, 1.00
135, 1.00
136, 1.00
137, 3.00
138, 9.00
139, 8.00
140, 9.00
141, 1.00
142, 9.00
143, 1.00
144, 1.00
145, 5.00
146, 1.00
147, 1.00
148, 8.00
149, 1.00
150, 3.00
151, 1.00
152, 9.00
153, 9.00
154, 9.00
155, 9.00
156, 1.00
157, 9.00
158, 1.00
159, 1.00
160, 1.00
161, 0.00
162, 1.00
163, 9.00
164, 3.00
165, 8.00
166, 3.00
167, 3.00
168, 8.00
169, 1.00
170, 1.00
171, 1.00
172, 1.00
173, 1.00
174, 1.00
175, 1.00
176, 1.00
177, 1.00
178, 7.00
179, 1.00
180, 9.00
181, 8.00
182, 0.00
183, 1.00
184, 9.00
185, 1.00
